route,mainLOC,components
/ui-nav-tabs,3606,2
/ui-dropdowns,3109,2
/file-manager,2638,3
/notes,2542,5
/todo,2042,4
/chat,2024,4
/admin-dashboard,1974,3
/ui-modals,1839,4
/social-feed,1805,1
/pos,1799,3
/icon-flag,1770,2
/email,1747,2
/pos-4,1666,3
/pos-5,1537,3
/department-grid,1460,1
/projects,1428,4
/tables-basic,1407,4
/ui-toasts,1382,2
/pos-2,1315,3
/employees-grid,1310,4
/pos-3,1310,3
/todo-list,1224,6
/companies,1175,7
/packages,1137,3
/edit-product,1086,10
/all-blog,1082,6
/add-product,1036,12
/dashboard,992,4
/ui-pagination,978,3
/designation,972,1
/security-settings,915,1
/email-reply,889,2
/pages,843,1
/icon-material,841,2
/swiper-js,803,2
/form-horizontal,784,2
/email-templates,782,1
/language-settings,767,4
/sms-templates,765,1
/payment-gateway-settings,703,1
/ui-progress,696,3
/form-validation,684,2
/stock-transfer,672,7
/wishlist,639,4
/ui-buttons,639,2
/ui-popovers,637,1
/employee-salary,632,6
/ui-carousel,631,2
/ui-cards,630,2
/add-employee,629,3
/edit-employee,629,3
/ui-list-group,621,3
/ui-buttons-group,618,2
/ui-colors,617,2
/icon-pe7,615,2
/sales-dashboard,613,5
/billers,584,6
/stock-adjustment,580,6
/permissions,579,2
/expense-category,576,6
/domain,568,6
/form-checkbox-radios,562,2
/warehouse,554,6
/leaves-admin,546,3
/ui-offcanvas,545,3
/admin-dashboard-two,544,1
/subscription,539,7
/orders,536,6
/reviews,535,6
/low-stocks,529,8
/customers,528,6
/ui-alerts,527,3
/manage-stocks,525,7
/testimonials,524,2
/products,521,7
/social-authentication,513,1
/ui-badges,507,3
/contacts,504,5
/ui-accordion,502,2
/form-vertical,499,2
/ui-typography,499,2
/form-input-groups,485,2
/product-list,482,7
/ui-links,479,3
/system-settings,473,4
/expense-list,469,6
/calendar,466,4
/ui-ribbon,466,2
/signatures,459,1
/cities,455,5
/ui-drag-drop,454,4
/bank-settings-grid,453,5
/email-settings,447,1
/account-list,443,2
/barcode,441,5
/states,440,2
/invoice-template,439,1
/ui-avatar,438,4
/income,436,6
/sub-categories,434,7
/faq,423,5
/store-list,417,5
/localization-settings,417,1
/checkout,406,5
/purchase-transaction,404,6
/employees-list,400,5
/countries,399,5
/notification,398,1
/blog-categories,393,2
/video-call,392,4
/blog-tag,381,2
/income-category,376,5
/pos-orders,373,7
/money-transfer,369,2
/form-wizard,369,2
/form-select2,361,2
/icon-typicon,356,2
/online-orders,354,7
/company-settings,354,1
/brand-list,352,7
/sales-returns,347,8
/warranty,340,7
/units,339,7
/icon-ionic,339,2
/call-history,338,6
/attendance-employee,338,5
/department-list,338,8
/variant-attributes,325,6
/quotation-list,315,9
/icon-tabler,315,2
/form-grid-gutters,315,2
/ui-tooltips,314,2
/remix-icon,311,2
/bootstrap-icon,310,2
/form-floating-labels,309,2
/cart,299,1
/invoice-details,299,2
/ui-rangeslider,298,2
/icon-themify,285,2
/ui-clipboard,285,1
/expired-products,284,7
/ui-scrollbar,283,3
/ui-grid,283,3
/connected-apps,282,1
/search-list,280,2
/pricing,280,1
/preference,279,1
/ui-spinner,274,2
/custom-fields,271,5
/purchase-returns,269,8
/blog-comments,267,2
/product-report,263,2
/icon-fontawesome,261,2
/qrcode,252,5
/product-expiry-report,251,2
/currency-settings,249,6
/category-list,248,8
/product-quantity-report,247,2
/purchase-list,244,9
/sales-report,242,6
/customer-due-report,242,5
/invoice,242,7
/gift-cards,241,7
/invoice-report,240,2
/ui-borders,240,2
/sales-tax,238,6
/ban-ip-address,236,5
/customer-report,235,6
/supplier-report,232,6
/invoice-settings,232,1
/leaves-employee,230,8
/coupons,230,5
/supplier-due-report,230,6
/ui-media,230,4
/appearance,228,4
/shift,224,8
/form-basic-inputs,216,2
/ui-placeholders,216,4
/users,214,7
/tax-report,211,6
/register-2,206,1
/holidays,206,8
/printer-settings,206,1
/ui-breadcrumb,205,2
/stock-history,204,2
/register-3,203,1
/sold-stock,200,2
/register,198,1
/discount,198,7
/inventory-report,197,5
/general-settings,197,1
/tax-rates,192,6
/trial-balance,188,1
/discount-plan,188,7
/expense-report,188,6
/suppliers,187,6
/annual-report,186,5
/income-report,185,4
/best-seller,184,2
/profit-loss-report,184,4
/payslip,183,1
/ui-images,183,4
/gdpr-settings,179,1
/roles-permissions,179,7
/attendance-admin,171,7
/signin-3,168,1
/product-details,167,2
/account-statement,167,2
/signin-2,165,1
/purchase-report,161,6
/pos-settings,161,1
/reset-password-2,160,1
/profile,160,2
/sms-gateway,160,1
/leave-types,158,8
/reset-password-3,155,1
/prefixes,155,1
/delete-account,154,5
/chart-apex,151,9
/reset-password,147,1
/blog-details,147,2
/cash-flow,147,2
/sortable,143,2
/form-fileupload,141,2
/ui-lightbox,141,2
/email-verification-2,138,1
/two-step-verification-2,137,1
/two-step-verification-3,132,2
/email-verification-3,131,1
/otp-settings,128,1
/storage-settings,128,4
/email-verification,125,1
/data-tables,124,3
/two-step-verification,123,1
/purchase-order-report,122,6
/ui-video,114,2
/audio-call,111,4
/balance-sheet,111,2
/coming-soon,107,1
/form-picker,101,2
/form-select,101,2
/forgot-password-2,90,1
/forgot-password-3,87,1
/forgot-password,80,1
/ui-text-editor,52,3
/under-maintenance,40,1
/blank-page,40,1
/error-404,35,1
/error-500,35,1
/layout-rtl,14,2
/layout-box,10,2
/layout-dark,10,2
/layout-detached,10,2
/layout-horizontal,10,2
/layout-hovered,10,2
/layout-two-column,10,2
/lock-screen,0,1
/signin,0,1
